Name,body Shape,dress size,Breasts-Waist-Hips(m),Shoe/Feet,Bra size,Cup size,Height(m),Weight(kg),Natural breasts or implants?
Cher Lloyd, Banana , 0,2.057-1.473-2.134, 5, 30B, B,1.57,50, Natural  

Janel Parrish, Banana , 4,2.184-1.549-2.184, 6.5, 32B, B,1.57,53, Natural  

Meghan Trainor, Apple , 12,2.515-1.88-2.515, 9, 36C, C,Null,79, Natural  

Delta Goodrem, Hourglass , 6,2.311-1.626-2.311, 9, 34B, B,1.78,61, Natural  

Billie Piper, Inverted itriangle , 4,2.311-1.626-2.261, 8, 34B, B,1.65,55, Natural  

Melissa Benoist, Banana , 0,2.134-1.473-2.184, 7.5, 32A, A,1.73,55, Natural  

Stefanie Scott, Banana , 4,2.184-1.626-2.261, 6, 32B, B,1.63,53, Natural  

Indiana Evans, Hourglass , 8,2.311-1.549-2.311, 7, 34B, B,1.65,57, Natural  

Brooke Elliott, Apple , 18,2.642-2.311-2.515, 7, 38C, C,1.65,84, Natural  

Jessie J, Banana , 2,2.134-1.549-2.261, 9.5, 32A, A,1.75,58, Natural  

Jana Kramer, Apple , 6,2.311-1.676-2.311, 8, 34B, B,1.63,53, Natural  

Jessie James, Hourglass , 8,2.388-1.676-2.388, 6.5, 34C, C,1.55,58, Natural  

Laura Marano, Banana , 6,2.261-1.626-2.261, 6, 34A, A,1.57,51, Natural  

Selena Quintanilla, Pear , 6,2.261-1.676-2.388, 7.5, 32C, C,1.68,58, Natural  

Minnie Driver, Hourglass , 6,2.311-1.676-2.311, 9.5, 34B, B,1.78,65, Natural  

Marina Diamandis, Hourglass , 10,2.464-1.676-2.388, 8.5, 34D, C,1.73,70, Natural  

Olivia Holt, Banana , 2,2.134-1.549-2.261, 6, 32A, A,1.57,47, Natural  

Vanessa Williams, Hourglass , 10,2.388-1.753-2.515, 9, 34C, C,1.68,68, Natural  

Kim Zolciak, Hourglass , 12,2.642-1.88-2.515, 8.5, 36DD, DD,1.75,70, Natural  

Doris Day, Hourglass , 10,2.464-1.676-2.388, 10, 36B, B,1.7,62, Natural  

Anna Semenovich, Hourglass , N/A,2.769-1.753-2.464, 9, 38E, E,1.55,64, Natural 

Teyana Taylor, Hourglass , N/A,2.311-1.549-2.388, 7, 32D, D,1.58,52, Natural 

Jamie Lynn Spears, Banana , 8,2.311-1.676-2.311, 7, 34B, B,1.64,57, Natural 

Violante Placido, Hourglass , 8,2.311-1.626-2.311, 8, 34B, B,1.7,54, Natural 

Dove Cameron, Hourglass , 4,2.184-1.549-2.261, 7, 32B, B,1.57,49, Natural 

Kimberly Perry, Hourglass , 8,2.311-1.626-2.311, 7, 34B, B,1.75,64, Natural 

Perrie Edwards, Banana , 4,2.184-1.549-2.184, 7.5, 32B, B,1.6,54, Natural 

China Anne McClain, Banana , N/A,2.007-1.473-2.134, 7, 30A, A,1.57,Null, Natural 

Roselyn Sanchez, Hourglass , 6,2.311-1.549-2.311, 8, 34B, B,1.65,55, Natural 

