Height,Mass,Bust Circumference,Waist Circumference,Hip Circumference,B:W:H,B:H,W:H,B:W,B-H,W-H,B-W,BMI,BSI,Feet,AA,A,B,C,D,DD,E,DDD,F,DDDD,G,H,I,J,K,L,M,N,O,P,Q,R,FF,30A,32A,34A,36A,38A,40A,30B,32B,34B,36B,38B,40B,30C,32C,34C,36C,38C,40C,30D,32D,34D,36D,38D,40D,34DD,32AA,36DD,32DD,38DDD,40DD,34FF,36E,38E,32F,38F,30G,Naturals or Implants
1.6,56.0,2.261,1.524,2.184,0.6793,1.4836,0.6978,1.0353,0.737,-0.66,0.077,35.0,1.524,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.68,80.0,2.464,2.007,2.591,0.4738,1.2277,0.7746,0.951,0.457,-0.584,-0.127,47.619,2.007,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.68,52.0,2.184,1.524,2.261,0.6338,1.4331,0.674,0.9659,0.66,-0.737,-0.077,30.9524,1.524,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.75,57.0,2.184,1.549,2.311,0.6101,1.4099,0.6703,0.945,0.635,-0.762,-0.127,32.5714,1.549,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.55,54.0,2.311,1.626,2.311,0.615,1.4213,0.7036,1.0,0.685,-0.685,0.0,34.8387,1.626,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.7,58.0,2.311,1.549,2.311,0.6456,1.4919,0.6703,1.0,0.762,-0.762,0.0,34.1176,1.549,8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.65,62.0,2.388,1.676,2.464,0.5782,1.4248,0.6802,0.9692,0.712,-0.788,-0.076,37.5758,1.676,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.63,53.0,2.261,1.626,2.311,0.6017,1.3905,0.7036,0.9784,0.635,-0.685,-0.05,32.5153,1.626,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.63,58.0,2.311,1.626,2.388,0.5952,1.4213,0.6809,0.9678,0.685,-0.762,-0.077,35.5828,1.626,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.65,59.0,2.184,1.626,2.388,0.5625,1.3432,0.6809,0.9146,0.558,-0.762,-0.204,35.7576,1.626,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
